ID,Sampling_1,Sampling_2,Common period (Band1 & Band1),Upper error bound,Lower error bound,Significance,Band1-Band2
466407,47.99974358974354,52.62857142857143,,,,,0-1
466407,47.99974358974354,51.99972222222217,,,,,0-2
466407,47.99974358974354,58.21906249999984,,,,,0-3
466407,52.62857142857143,51.99972222222217,,,,,1-2
466407,52.62857142857143,58.21906249999984,,,,,1-3
466407,51.99972222222217,58.21906249999984,,,,,2-3
466404,54.11975609756088,48.259347826086966,,,,,0-1
466404,54.11975609756088,48.62913043478266,,,,,0-2
466404,54.11975609756088,54.144634146341474,,,,,0-3
466404,48.259347826086966,48.62913043478266,,,,,1-2
466404,48.259347826086966,54.144634146341474,,,,,1-3
466404,48.62913043478266,54.144634146341474,,,,,2-3
466403,39.78553191489358,39.78574468085107,,,,,0-1
466403,39.78553191489358,44.184186046511584,,,,,0-2
466403,39.78553191489358,39.58166666666663,,,,,0-3
466403,39.78574468085107,44.184186046511584,,,,,1-2
466403,39.78574468085107,39.58166666666663,,,,,1-3
466403,44.184186046511584,39.58166666666663,,,,,2-3
466408,29.325961538461623,29.32615384615383,,,,,0-1
466408,29.325961538461623,29.90098039215695,,,,,0-2
466408,29.325961538461623,41.40592592592589,,,,,0-3
466408,29.32615384615383,29.90098039215695,,,,,1-2
466408,29.32615384615383,41.40592592592589,,,,,1-3
466408,29.90098039215695,41.40592592592589,,,,,2-3
466395,111.52470588235283,94.7954999999998,,,,,0-1
466395,111.52470588235283,94.7959999999999,,,,,0-2
466395,111.52470588235283,94.7959999999999,,,,,0-3
466395,94.7954999999998,94.7959999999999,,,,,1-2
466395,94.7954999999998,94.7959999999999,,,,,1-3
466395,94.7959999999999,94.7959999999999,,,,,2-3
466394,91.00250000000052,72.8020000000004,,,,,0-1
466394,91.00250000000052,121.33666666666734,,,,,0-2
466394,91.00250000000052,91.00250000000052,19.99200319872051,0.7980605018240539,0.2590829451945104,0.62,0-3
466394,72.8020000000004,121.33666666666734,,,,,1-2
466394,72.8020000000004,91.00250000000052,,,,,1-3
466394,121.33666666666734,91.00250000000052,,,,,2-3
466415,75.66958333333332,68.4788888888889,,,,,0-1
466415,75.66958333333332,87.99952380952371,,,,,0-2
466415,75.66958333333332,71.11230769230762,,,,,0-3
466415,68.4788888888889,87.99952380952371,,,,,1-2
466415,68.4788888888889,71.11230769230762,22.65518803806072,2.480886265358208,0.4766238499638966,0.92,1-3
466415,87.99952380952371,71.11230769230762,,,,,2-3
466387,38.77387755102037,38.95666666666663,,,,,0-1
466387,38.77387755102037,39.58166666666663,,,,,0-2
466387,38.77387755102037,35.847547169811286,,,,,0-3
466387,38.95666666666663,39.58166666666663,,,,,1-2
466387,38.95666666666663,35.847547169811286,,,,,1-3
466387,39.58166666666663,35.847547169811286,,,,,2-3
466402,70.36740740740734,82.60521739130427,,,,,0-1
466402,70.36740740740734,78.99624999999985,,,,,0-2
466402,70.36740740740734,83.4554545454544,,,,,0-3
466402,82.60521739130427,78.99624999999985,78.24726134585289,16.677359997516007,5.448535764248447,0.98,1-2
466402,82.60521739130427,83.4554545454544,,,,,1-3
466402,78.99624999999985,83.4554545454544,,,,,2-3
466385,41.3875925925926,39.9096428571429,,,,,0-1
466385,41.3875925925926,45.61102040816331,,,,,0-2
466385,41.3875925925926,41.38777777777782,,,,,0-3
466385,39.9096428571429,45.61102040816331,,,,,1-2
466385,39.9096428571429,41.38777777777782,,,,,1-3
466385,45.61102040816331,41.38777777777782,,,,,2-3
466412,59.372499999999945,55.87970588235283,,,,,0-1
466412,59.372499999999945,54.28342857142852,29.120559114735,1.501584185278908,0.9074023323388792,0.98,0-2
466412,59.372499999999945,52.77555555555551,,,,,0-3
466412,55.87970588235283,54.28342857142852,,,,,1-2
466412,55.87970588235283,52.77555555555551,,,,,1-3
466412,54.28342857142852,52.77555555555551,,,,,2-3
466417,54.99764705882348,54.879999999999946,,,,,0-1
466417,54.99764705882348,47.946923076923085,,,,,0-2
466417,54.99764705882348,46.748250000000006,,,,,0-3
466417,54.879999999999946,47.946923076923085,,,,,1-2
466417,54.879999999999946,46.748250000000006,,,,,1-3
466417,47.946923076923085,46.748250000000006,144.92753623188406,12.03841677751828,15.17349029932413,1.0,2-3
466379,112.54923076923072,133.01272727272723,,,,,0-1
466379,112.54923076923072,146.31399999999994,,,,,0-2
466379,112.54923076923072,112.54923076923072,,,,,0-3
466379,133.01272727272723,146.31399999999994,,,,,1-2
466379,133.01272727272723,112.54923076923072,,,,,1-3
466379,146.31399999999994,112.54923076923072,112.8668171557562,6.146894290119263,16.193233208256842,0.98,2-3
466405,52.77555555555551,54.28342857142852,,,,,0-1
466405,52.77555555555551,52.77555555555551,,,,,0-2
466405,52.77555555555551,55.879999999999946,,,,,0-3
466405,54.28342857142852,52.77555555555551,,,,,1-2
